player,position_x,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek,draftgeek_x,pft,cbs_wilson
Joe Burrow,QB,5,1,2,3,1,1,1,6,27,7,1,1,27,1,1,1,2,2,2,1,1,1
Chase Young,EDGE,1,2,1,1,2,2,2,5,4,1,2,3,4,2,2,2,1,1,1,2,2,2
Justin Herbert,LB,2,4,4,2,4,7,4,13,15,5,12,11,15,12,3,7,5,4,3,7,8,6
Tristan Wirfs,OT,12,8,10,5,15,16,5,9,25,21,22,8,25,11,4,5,16,11,7,8,4,8
Jeff Okudah,QB,6,3,5,6,5,8,10,1,1,4,13,24,1,7,5,6,7,5,4,5,13,5
Andrew Thomas,QB,22,6,19,10,7,10,15,2,11,26,3,2,11,4,6,4,26,20,12,6,3,20
Derrick Brown,DT,4,11,6,4,9,6,7,16,8,12,9,7,8,13,7,8,6,7,5,13,7,7
Isaiah Simmons,OT,8,7,8,17,13,11,8,,,10,6,,,,8,18,8,6,16,4,10,4
C.J. Henderson,OT,13,9,14,11,6,5,6,4,2,11,8,5,2,5,9,14,13,14,13,14,6,11
Jedrick Wills Jr.,WR,9,12,9,12,11,9,23,8,39,8,11,14,39,14,11,12,,9,9,12,12,12
Mekhi Becton,WR,10,15,7,9,8,4,28,3,3,2,5,4,3,3,12,21,3,8,10,21,15,13
Ceedee Lamb,DT,14,16,11,15,10,19,9,59,92,13,24,36,92,43,13,17,12,10,8,22,14,16
Tua Tagovailoa,WR,15,21,12,13,35,27,36,47,36,23,18,20,36,44,14,13,10,12,14,18,21,15
Javon Kinlaw,EDGE,17,25,17,18,25,35,27,,,20,36,,,,15,16,,17,15,17,16,17
Jerry Jeudy,ILB,21,28,21,28,12,13,19,27,31,24,10,35,31,32,16,15,17,21,26,28,28,33
K'Lavon Chaisson,EDGE,32,40,33,20,16,18,13,11,7,33,23,9,7,9,17,25,25,31,25,27,27,39
Xavier Mckinney,CB,11,13,15,16,28,26,25,10,16,28,29,15,16,18,18,9,20,13,18,16,9,9
A.J. Epenesa,WR,23,23,16,27,62,,62,,78,44,,,78,,19,22,,16,24,25,20,22
Kristian Fulton,DT,35,31,41,49,53,62,50,,,45,62,,,,20,30,77,41,34,29,,35
Justin Jefferson,OT,7,10,13,8,39,63,14,64,70,6,63,81,70,79,21,11,78,15,11,11,11,10
Henry Ruggs III,OT,29,18,30,23,27,43,17,,,69,43,54,,,22,27,35,30,28,15,23,14
Trevon Diggs,OT,57,38,31,34,18,12,29,,,15,21,,,,23,24,,32,37,26,26,45
Josh Jones,WR,25,24,29,22,19,15,32,66,51,25,14,21,51,17,24,71,11,34,20,,25,81
A.J. Terrell,QB,50,67,26,69,59,,51,,,22,,61,,,25,10,31,28,17,9,,24
Tee Higgins,CB,26,20,20,25,17,14,12,40,55,19,7,22,55,22,26,29,,19,30,19,19,29
Austin Jackson,EDGE,20,35,28,24,22,23,11,15,10,17,28,17,10,10,27,46,9,24,23,23,18,40
Yetur Gross-Matos,G,86,71,97,56,94,83,92,,,,83,,,,28,,,,27,,,76
Kenneth Murray,S,48,32,23,14,14,17,16,7,5,9,15,10,5,8,29,35,14,25,36,,,42
Isaiah Wilson,CB,74,66,65,33,42,37,37,34,26,62,38,18,26,21,30,,62,67,84,,,79
Michael Pittman Jr.,CB,28,19,38,32,46,,41,41,41,34,,32,41,34,31,19,,38,38,,24,19
Cesar Ruiz,EDGE,55,54,75,42,26,22,21,29,23,46,27,16,23,20,32,64,56,71,71,,,63
Jeff Gladney,G,60,97,84,38,33,28,24,39,46,30,30,26,46,31,33,,,92,85,,,
Brandon Aiyuk,EDGE,62,51,50,48,43,36,46,63,58,42,37,49,58,58,34,31,,54,82,,,66
Zack Baun,RB,39,39,27,19,32,39,18,25,13,47,20,30,13,26,35,26,24,29,41,,,48
Jordan Love,EDGE,24,36,37,86,,,,,,32,,,,,36,42,,37,39,,,23
Ezra Cleveland,G,81,,,37,24,32,22,38,37,60,33,34,37,52,37,,,,43,,,
Marlon Davidson,WR,31,60,35,,,,,,,,,,,,38,41,,36,54,,,21
Patrick Queen,S,19,17,25,21,23,24,20,55,73,14,16,25,73,41,39,82,29,26,19,,17,18
Denzel Mims,WR,43,30,34,,,,,,,,,,,,40,36,,35,40,30,,30
Ross Blacklock,S,42,47,48,41,,,98,,,,,,,,41,74,,49,32,,,51
Ashtyn Davis,RB,16,44,22,26,61,,45,32,22,29,,50,22,35,42,45,15,23,29,,,44
Jaylon Johnson,RB,38,56,32,31,38,29,39,52,47,41,19,66,47,48,43,93,18,33,56,,,52
Neville Gallimore,WR,33,42,39,55,21,21,30,22,12,16,26,12,12,15,44,62,22,39,33,,,62
Grant Delpit,G,65, ,63,70,,,70,,,,,,,,45,32,,65,47,,,55
Robert Hunt,OT,52,27,52,,,,,,,,,,,,46,37,,51,64,10,,26
Noah Igbinoghene,OL,,,,54,58,47,44,77,82,65,47,40,82,76,47,,79,,45,,,
Jalen Reagor,CB,27,45,24,58,31,79,53,,,18,79,65,,,48,51,27,22,22,,22,31
Jonathan Taylor,DT,61,64,44,35,57,48,56,,,77,48,,,,49,47,41,53,44,,,41
Jacob Eason,EDGE,41,91,47,39,64,56,26,61,50,82,56,,50,61,50,20,19,45,49,,,50
Terrell Lewis,CB,64,81,60,50,41,38,33,30,24,43,39,37,24,53,51,,61,63,62,,,71
Antoine Winfield Jr.,TE,,,,47,66,49,43,20,14,66,49,27,14,24,52,94,,,,,,
J.K. Dobbins,DT,46,57,51,78,34,65,48,68,60,49,65,91,60,92,53,67,,48,70,,,27
Josh Uche,OT,82,46,67,,,,,85,,,,92,,90,54,,,72,,,,90
Clyde Edwards-Helaire,DT,71,72,54,44,37,33,42,,,53,34,,,,55,40,39,58,31,,,56
Lloyd Cushenberry III,WR,30,37,42,46,50,55,61,82,,37,55,44,,51,56,55,,43,42,,,47
Justin Madubuike,RB,44,76,46,51,,,,,,,,,,,57,54,,44,69,,,54
Prince Tega Wanogho,WR,,,76,,,,,,,98,,,,,58,,,93,81,,,
Cam Akers,LB,,,86,43,30,30,38,,,55,31,59,,,59,52,52,84,88,,,67
Jordan Elliott,CB,37,22,40,62,65,57,59,58,63,59,57,62,63,54,60,23,51,40,48,,,38
Damon Arnette,CB,68,78,57,67,71,61,65,,,95,61,,,,61,,,55,,20,,46
Willie Gay Jr.,WR,45,34,59,59,77,71,73,,,84,71,,,,62,83,30,57,74,,30,34
Laviska Shenault Jr.,OT,76,52,90,53,40,40,52,37,33,52,40,42,33,33,63,,74,81,51,,,57
Curtis Weaver,WR,49,80,68,84,,,,,,94,,,,,64,79,66,62,87,,,85
KJ Hamler,CB,80,100,45,52,,,34,,,100,,68,,,65,48,,46,66,,,60
Zack Moss,TE,53,59,49,92,,,58,,,27,,,,,66,33,,50,67,,,84
Julian Okwara,LB,,84,78,64,63,54,64,14,,75,54,55,,19,67,,70,83,68,,,
Jordyn Brooks,OT,54,33,73,61,74,52,55,,,76,52,,,,68,65,,64,55,,29,37
John Simpson,G,36,26,43,45,,,81,,,,,,,,69,43,,42,35,31,31,32
Damien Lewis,LB,,,,60,76,,86,48,38,,,,38,69,70,,,,94,,,
Raekwon Davis,CB,,,,75,84,85,79,,,,85,,,,71,,,,,,,
Bryce Hall,LB,59,65,79,65,70,58,69,80,90,86,58,31,90,45,72,63,34,74,52,,,74
Van Jefferson,OL,,94,,73,67,50,66,,,72,50,47,,,73,97,,,77,,,
Malik Harrison,TE,,,,74,73,64,76,,91,79,64,86,91,85,74,,,,,,,
Jonathan Greenard,OT,,,,68,80,69,75,51,53,51,69,48,53,55,75,,,,,,,
Netane Muti,,,,,,100,88,,,,81,88,,,,76,,67,,,,,102
Terrell Burgess,DT,51,,,57,36,25,40,18,18,36,17,23,18,23,77,,65,94,76,,,70
Davon Hamilton,EDGE,73,102,,79,52,51,71,95,,58,51,70,,82,78,,46,86,59,,,82
Cameron Dantzler,EDGE,73,102,,79,52,51,71,95,,58,51,84,,82,78,,46,86,59,,,82
Jonah Jackson,RB,58,86,61,72,,,,75,80,74,,78,80,77,79,49,48,66,,,,58
Jabari Zuniga,DE,70,79,83,93,44,44,63,54,54,78,44,,54,66,80,87,55,87,79,,,95
Jabari Zuniga,DE,63,87,69,29,29,34,35,,,50,35,94,,,81,76,,77,50,,,49
Darrell Taylor,DT,,,,82,,,87,,,,,,,,82,38,,,57,,,
Cole Kmet,S,,41,55,76,54,46,60,,,80,46,56,,50,83,,,56,98,,,36
Chase Claypool,G,93,,,85,,,85,,,,,,,,84,,43,,60,,,68
Khalid Kareem,OT,99,,,40,20,20,31,31,57,39,25,13,57,16,85,,,,,,,
Bryan Edwards,TE,85,106,66,,,,,,,,,,,,86,90,,68,99,,,
Ben Bredeson,WR,40,48,62,66,68,66,67,,,40,66,41,,86,87,59,,59,61,,,
Matt Hennessy,G,,,,71,45,,47,44,42,,,57,42,46,88,85,49,,86,,,88
Lucas Niang,LB,18,14,18,81,83,,84,,,31,,,,,89,28,,18,21,24,,28
Logan Wilson,QB,84,104,82,30,91,91,,33,20,73,91,19,20,37,90,75,42,85,63,,,
Amik Robertson,OL,,,,88,,89,93,,,,89,,,,91,,,,91,,,
Reggie Robinson II,RB,,,,87,90,78,91,,,68,78,,,,92,,,,,,,
Leki Fotu,S,66,50,56,,,,,,,61,,,,,93,89,,52,46,,,
Jalen Hurts,EDGE,69,,72,100,85,72,90,,,,72,,,,94,78,50,78,,,,96
Bradlee Anae,OT,,,,,,,,35,30,,,39,30,42,95,,,,75,,,
Lynn Bowden Jr.,OL,,,,98,96,86,97,86,,,86,83,,83,96,,,,,,,
Nick Harris,TE,,,,36,48,,74,,,48,,,,,97,,,,,,,
Trevis Gipson,CB,34,43,36,96,81,67,80,,,35,67,,,,98,34,,27,58,32,32,25
Davion Taylor,DL,,,,99,98,77,,,,96,77,,,,99,,,,,,,
Michael Ojemudia,EDGE,95,68,81,,,,,,,,,,,,100,80,72,96,100,,,
Devin Duvernay,CB,3,5,3,7,3,3,3,12,86,3,4,6,6,10,,3,4,3,6,3,5,3
Jeremy Chinn,G,83,92,77,,,98,,,,,98,,,,,,,73,,,,43
Deandre Swift,EDGE,,55,70,,75,82,,,,64,82,,,,,56,,61,83,,,53
K.J. Hamler,DT,47,61,58,95,,,,,,,,,,,,99,,60,,,,59
Kyle Dugger,LB,,53,95,,,,,,,,,,,,,,,80,,,,61
Tyler Johnson,,,,,,,,,,,,,,,,,,,,,,,64
Akeem Davis-Gather,RB,56,96,85,,,,,,,,,,,,,72,76,88,90,,,65
Darrell Taylor ,OL,,88,96,,,,,,,,,,,,,69,,97,73,,,69
Ben Bartch,WR,98,,98,,,,,,,,,,,,,,,98,,,,73
Jack Driscoll,EDGE,92,,71,,,,,,,,,60,,,,68,,69,,,,75
Matt Peart,S,,69,93,,,,,,,,,,,,,39,64,90,,,,77
Geno Stone,DL,,85,,,,,,,,,,,,,,,,100,72,,,78
Troy Pride Jr.,G,96,49,94,,,,,,,,,,,,,95,,,,,,80
Troy Dye,,,,,,,,,,,,,,,,,,,,,,,83
K'Von Wallace,,,,,,93,81,,,,,81,88,,87,,,,,,,,86
Hunter Bryant,WR,75,70,89,,,,,,,,,,,,,,47,89,,,,87
Hakeem Adeniji,OL,,82,80,97,95,84,96,,,,84,,,,,57,44,82,,,,89
Kenny Willekes,LB,,,92,,,,,,,,,,,,,98,,91,,,,91
Tyler Biadasz,CB,,89,91,,86,68,,,,89,68,,,,,70,,75,,,,92
Saahdiq Charles,CB,,,,,,,,,,,,,,,,58,,,,,,93
Logan Wilkins,DT,,,,,,,,,,38,,,,,,102,,,,,,94
Antonio Gibson,WR,,,,94,,90,95,,,,90,,,,,,54,,,,,97
K.J. Hill,,,,,,89,76,,,,,76,73,,60,,,53,,,,,98
Jake Fromm,DE,,,,,,,,,,,,,,,,86,,,,,,99
Alex Highsmith,LB,,,,,,,,,,,,,,,,101,,,,,,100
Adam Trautman,CB,,,,,,,,,,,,,,,,96,,,,,,101
Solomon Kindley,S,77,29,53,,,,,,,,,,,,,50,,47,95,,,
Shane Lemieux,WR,79,58,100,77,56,42,78,,85,56,42,43,85,64,,,,,80,,,
James Lynch,LB,,62,88,,,,,,,,,,,,,88,,79,,,,72
Khalil Davis,OT,97,73,,,87,,,,,99,,,,,,60,,,,,,
Darryl Williams,OT,88,74,,,,,,,,,,,,,,,,,,,,
McTelvin Agim,OT,90,75,64,89,51,41,68,,,67,41,,,,,,45,70,,,,
Donovan Peoples-Jones,S,,77,,,,,,,,,,,,,,,,,,,,
Anfernee Jennings,CB,91,83,74,,,,,,,,,,,,,77,,76,,,,
Logan Stenberg,S,,90,,,,,,,,,,,,,,53,,,,,,
Carlos Davis,TE,72,93,,,,,,,,,,,,,,73,,,53,,,
Shyheim Carter,EDGE,,95,99,,,,,60,56,,,52,56,49,,,,,,,,
Jacob Phillips,OL,,98,,,,,,,,,,,,,,,,,,,,
Alton Robinson,LB,,99,,,,,,,,,,,,,,,,,,,,
Albert Okwuegbunan,RB,,101,,,,,,,,,,,,,,,,,,,,
Harrison Hand,WR,87,103,,,,,,,,,,,,,,,,99,,,,
Jake Breeland,EDGE,,105,,,79,70,,,,97,70,,,,,92,,,,,,
Calvin Throckmorton,,,,,,,,,,,,,,,,,,,,65,,,
Trey Adams,DL,,,,,,,,84,84,,,,84,,,,,,78,,,
Eno Benjamin,LB,,,,,60,,94,24,28,91,,33,28,28,,,60,,89,,,
Yasir Durant,DL,,,,,,,,,,,,,,,,,,,92,,,
Thaddeus Moss,CB,,,,,97,,100,92,89,87,,,89,95,,,,,93,,,
Benito Jones,EDGE,67,,,,,,,78,76,,,82,76,81,,,,,96,,,
Paddy Fisher,LB,,,,,,,,65,49,,,89,49,88,,,,,,,,
Collin Johnson,WR,,,,83,,,88,43,40,70,,75,40,40,,,,,,,,
Nick Coe,EDGE,,,,,69,59,,19,29,57,59,29,29,29,,,,,,,,
Dylan Moses,LB,,,,,,,,53,59,,,67,59,59,,,,,,,,
Tommy Kraemer,OL,,,,,,,,21,21,,,72,21,27,,,,,,,,
Shaquille Quarterman,LB,,,,,88,74,89,45,34,92,74,,34,65,,,,,,,,
Antonio Gandy Golden,WR,,,,90,47,31,57,26,35,54,32,28,35,25,,,,,,,,
Stanford Samuels,CB,,,,,55,45,82,28,19,63,45,53,19,63,,,,,,,,
Tylan Wallace,WR,,,,,,,,17,9,,,,9,62,,,,,,,,
T.J. Carter,EDGE,,,,,,,,,,,,,,,,,,,,,,
Michael Pinckney,LB,,,,,,93,,49,43,,93,,43,70,,,,,,,,
Najee Harris,RB,,,,,,,,87,68,,,,68,,,,28,,,,,
Tarik Black,WR,,,,,,,,96,93,,,,93,,,,,,,,,
Marvin Wilson,DT,,,,,,,,36,32,,,38,32,36,,,,,,,,
Mike Hampton,CB,,,,,,,,73,72,,,,72,84,,,,,,,,
Chase Lucas,,,,,,,,,,65,,,,65,,,,,,,,,
Jabril Cox,LB,,,,,,,,74,71,,,,71,91,,,,,,,,
DeMarkus Acy,S,,,,,,,,81,74,,,,74,93,,,,,,,,
Rashad Robinson,CB,,,,,,96,,67,67,,96,90,67,89,,,,,,,,
Brandon Jones,S,,,,,,92,,42,45,,92,51,45,39,,,69,,,,,
Rashard Lawrence,DL,,,,80,78,73,77,56,44,90,73,71,44,56,,,,,,,,
J.R. Reed,,,,,,,,,,,93,,,,,,,,,,,,
T.J. McCoy,OL,,,,,,,,57,61,,,63,61,57,,,,,,,,
Theo Howard,,,,,,,,,,,,,,,,,,,,,,,
Zach Robertson,,,,,,,,,,,,,,,,,,,,,,,
Tre Brown,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Rogers,,,,,,,,,,,,,,,,,,,,,,,
Bryce Mathews,,,,,,,,,,,,,,,,,,,,,,,
David Reese,,,,,,,,,,,,,,,,,,,,,,,
Gus Lavaka,,,,,,,,,,,,,,,,,,,,,,,
Grant Calcaterra,,,,,,,,,,,,,,,,,,,,,,,
Jake Hanson,OL,,,,,,,,83,79,,,95,79,,,,,,,,,
Tyler Vaughns,,,,,,,,,,,,,,,,,,,,,,,
Dane Jackson,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Wilcox,,,,,,,,,,,,,,,,,,,,,,,
Jared Pinkney,TE,,,,,,,,88,62,,,,62,,,,59,,,,,
Juwan Johnson,,,,,,,,,,,,,,,,,,75,,,,,
Harrison Bryant,TE,,,,91,82,75,83,62,66,71,75,,66,71,,44,,,,,,
Brycen Hopkins,TE,78,,87,,,,49,,,85,,87,,,,61,33,,,,,
Matthew Peart,OT,,,,,,,,,,,,,,,,66,,,,,,
Darrynton Evans,RB,,,,,,,,,,,,,,,,81,,,,,,
Darnay Holmes,CB,100,,,,,,,,,,,,,,,84,,95,,,,
Larrell Murchison,DT,,,,63,49,53,54,93,,83,53,80,,78,,91,,,,,,
DaVon Hamilton,DT,,,,,,,,,,,,,,,,100,,,,,,
LeVante Bellamy,RB,,,,,,,,,,,,,,,,103,,,,,,
Derrek Tuszka,DL,,,,,,,,,,,,,,,,104,,,,,,
John Hightower,WR,94,,,,,,,,,,,,,,,105,,,,,,
Jason Strowbridge,DT,,,,,,,,,,,,,,,,106,,,,,,
Jauan Jennings,WR,89,,,,,,,,,,,,,,,,,,,,,
David Woodward,LB,,,,,72,60,72,23,17,88,60,,17,30,,,,,,,,
Ezra Robinson,CB,,,,,92,80,,,,,80,,,,,,,,,,,
Terrence Steele,OL,,,,,99,87,,,,,87,,,,,,,,,,,
Gabriel Davis,WR,,,,,,94,,,96,,94,,96,,,,,,,,,
Lamar Jackson,CB,,,,,,95,,,,,95,69,,72,,,,,,,,
Evan Weaver,LB,,,,,,97,,,,,97,,,67,,,71,,,,,
Dante Olson,LB,,,,,,99,,,,,99,,,,,,,,,,,
Paulson Adebo,CB,,,,,,,,46,6,,,46,6,38,,,21,,,,,
Jack Anderson,G,,,,,,,,50,48,,,74,48,47,,,,,,,,
Rico Bussey Jr.,WR,,,,,,,,69,69,,,,69,73,,,,,,,,
Saadiq Charles,OT,,,,,,,,70,52,,,,52,68,,,,,,,,
Greg Eisworth,S,,,,,,,,71,75,,,76,75,74,,,,,,,,
LaBryan Ray,DL,,,,,,,,72,77,,,77,77,75,,,,,,,,
Steven Gonzalez,OL,,,,,,,,76,,,,,,,,,,,,,,
Lavert Hill,CB,,,,,,,,79,,,,85,,80,,,,,,,,
TreVour Wallace-Simms,OL,,,,,,,,89,64,,,93,64,,,,,,,,,
Charlie Woerner,TE,,,,,,,,90,83,,,,83,,,,,,,,,
Sam Williams,OL,,,,,,,,91,95,,,,95,94,,,,,,,,
Joe Bachie,LB,,,,,,,,94,87,,,,87,,,,,,,,,
Tony Pride,,,,,,,,99,,,,,,,,,,,,,,,
Nyles Pinckney,DT,,,,,,,,,81,,,,81,,,,,,,,,
Kelvin Smith,FB,,,,,,,,,88,,,,88,,,,,,,,,
Cohl Cabral,OL,,,,,,,,,94,,,,94,,,,,,,,,
Chuba Hubbard,RB,,,,,,,,,,,,45,,,,,32,,,,,
Devonta Smith,WR,,,,,,,,,,,,64,,,,,23,,,,,
Kennedy McCoy,,,,,,,,,,,,,,,,,,,,,,,
Jalen Elliott,,,,,,,,,,,,,,,,,,,,,,,
Justin Strnad,,,,,,,,,,,,,,,,,,,,,,,
Alex Leatherwood,,,,,,,,,,,,,,,,,,36,,,,,
Sage Surratt,,,,,,,,,,,,,,,,,,37,,,,,
Creed Humphrey,,,,,,,,,,,,,,,,,,38,,,,,
Travis Etienne,,,,,,,,,,,,,,,,,,40,,,,,
Charleston Rambo,,,,,,,,,,,,,,,,,,57,,,,,
Richard LeCounte,,,,,,,,,,,,,,,,,,58,,,,,
Monty Rice,,,,,,,,,,,,,,,,,,63,,,,,
Ke'Shawn Vaughn,,,,,,,,,,,,,,,,,,68,,,,,
Markus Bailey,,,,,,,,,,,,,,,,,,73,,,,,